Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1966,12,73.2,Y
IDCJAC0001,066037,1967,01,147.7,Y
IDCJAC0001,066037,1967,02,157.4,Y
IDCJAC0001,066037,1967,03,97.9,Y
IDCJAC0001,066037,1967,04,42.2,Y
IDCJAC0001,066037,1967,05,40.6,Y
IDCJAC0001,066037,1967,06,218.0,Y
IDCJAC0001,066037,1967,07,27.3,Y
IDCJAC0001,066037,1967,08,232.4,Y
IDCJAC0001,066037,1967,09,96.4,Y
IDCJAC0001,066037,1967,10,57.2,Y
IDCJAC0001,066037,1967,11,86.4,Y
IDCJAC0001,066037,1967,12,23.0,Y
IDCJAC0001,066037,1968,01,117.5,Y
IDCJAC0001,066037,1968,02,24.7,Y
IDCJAC0001,066037,1968,03,79.6,Y
IDCJAC0001,066037,1968,04,12.1,Y
IDCJAC0001,066037,1968,05,83.8,Y
IDCJAC0001,066037,1968,06,24.7,Y
IDCJAC0001,066037,1968,07,57.4,Y
IDCJAC0001,066037,1968,08,25.2,Y
IDCJAC0001,066037,1968,09,3.4,Y
IDCJAC0001,066037,1968,10,2.7,Y
IDCJAC0001,066037,1968,11,16.0,Y
IDCJAC0001,066037,1968,12,75.8,Y
IDCJAC0001,066037,1969,01,35.4,Y
IDCJAC0001,066037,1969,02,178.9,Y
IDCJAC0001,066037,1969,03,102.1,Y
IDCJAC0001,066037,1969,04,160.2,Y
IDCJAC0001,066037,1969,05,45.5,Y
IDCJAC0001,066037,1969,06,175.5,Y
IDCJAC0001,066037,1969,07,31.3,Y
IDCJAC0001,066037,1969,08,180.6,Y
IDCJAC0001,066037,1969,09,52.9,Y
IDCJAC0001,066037,1969,10,48.3,Y
IDCJAC0001,066037,1969,11,276.8,Y
IDCJAC0001,066037,1969,12,35.9,Y
IDCJAC0001,066037,1970,01,93.8,Y
IDCJAC0001,066037,1970,02,77.0,Y
IDCJAC0001,066037,1970,03,175.0,Y
IDCJAC0001,066037,1970,04,56.6,Y
IDCJAC0001,066037,1970,05,15.2,Y
IDCJAC0001,066037,1970,06,19.6,Y
IDCJAC0001,066037,1970,07,0.0,Y
IDCJAC0001,066037,1970,08,36.2,Y
IDCJAC0001,066037,1970,09,130.7,Y
IDCJAC0001,066037,1970,10,20.6,Y
IDCJAC0001,066037,1970,11,151.0,Y
IDCJAC0001,066037,1970,12,254.2,Y
IDCJAC0001,066037,1971,01,128.1,Y
IDCJAC0001,066037,1971,02,215.2,Y
IDCJAC0001,066037,1971,03,58.5,Y
IDCJAC0001,066037,1971,04,77.9,Y
IDCJAC0001,066037,1971,05,76.4,Y
IDCJAC0001,066037,1971,06,68.0,Y
IDCJAC0001,066037,1971,07,22.9,Y
IDCJAC0001,066037,1971,08,114.4,Y
IDCJAC0001,066037,1971,09,51.3,Y
IDCJAC0001,066037,1971,10,1.9,Y
IDCJAC0001,066037,1971,11,65.2,Y
IDCJAC0001,066037,1971,12,110.2,Y
IDCJAC0001,066037,1972,01,400.4,Y
IDCJAC0001,066037,1972,02,88.0,Y
